Unnamed: 0,호선,역코드,역명,AIRPRESSURE,CO2,HUMIDITY,PM10,PM2.5,TEMPERATURE,호선명,역번호,설치대수,제조사,모델명,적용면적,처리용량,Purifier_Need,위도,경도
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed,37.570429,126.992095
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed,37.571537,126.991237
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed,37.572546,126.990447
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
9,3,319,종로3가,41,108,67,103,96,202,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated,37.570429,126.992095
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated,37.571537,126.991237
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated,37.572546,126.990447
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.570429,126.992095
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.571537,126.991237
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.572546,126.990447
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated,37.570429,126.992095
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated,37.571537,126.991237
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated,37.572546,126.990447
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.570429,126.992095
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.571537,126.991237
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.572546,126.990447
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Additional Purifiers Needed,37.570429,126.992095
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Additional Purifiers Needed,37.571537,126.991237
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Additional Purifiers Needed,37.572546,126.990447
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.570429,126.992095
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.571537,126.991237
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.572546,126.990447
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated,37.570429,126.992095
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated,37.571537,126.991237
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Oversaturated,37.572546,126.990447
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.570429,126.992095
10,3,319,종로3가,41,108,67,103,96,202,5호선,2535,18,LG전자,AS480BWFB,168.3,20.0,Optimal,37.571537,126.991237
